,Accession Number,Average Operon Size,File Name,Max Operon Size,Min Operon Size,Number of Operons,Organism,Species
168,GCF_000325725.1,5070.4,GCF_000325725.1_ASM32572v1_genomic.gbff.gz,5258,4960,5,Pseudomonas putida HB3267,Pseudomonas putida
169,GCF_900618325.1,5156.25,GCF_900618325.1_paerg011_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
170,GCF_003288435.1,5154.75,GCF_003288435.1_ASM328843v1_genomic.gbff.gz,5156,5152,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
171,GCF_003716765.1,5158.5,GCF_003716765.1_ASM371676v1_genomic.gbff.gz,5162,5154,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
172,GCF_003850425.1,5212.4,GCF_003850425.1_ASM385042v1_genomic.gbff.gz,5390,5164,5,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
173,GCF_003641125.1,5156.0,GCF_003641125.1_ASM364112v1_genomic.gbff.gz,5156,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
174,GCF_002736125.1,5078.0,GCF_002736125.1_ASM273612v1_genomic.gbff.gz,5265,4982,5,Pseudomonas putida,Pseudomonas putida
175,GCF_000026105.1,5196.714285714285,GCF_000026105.1_ASM2610v1_genomic.gbff.gz,5387,5160,7,Pseudomonas entomophila L48,Pseudomonas entomophila
176,GCF_000496455.2,5157.25,GCF_000496455.2_ASM49645v2_genomic.gbff.gz,5158,5157,4,Pseudomonas aeruginosa DHS01,Pseudomonas aeruginosa
177,GCF_000344335.2,5282.6,GCF_000344335.2_ASM34433v2_genomic.gbff.gz,5461,5238,5,Pseudomonas syringae pv. actinidiae ICMP 9853,Pseudomonas syringae
178,GCF_001721785.1,5157.25,GCF_001721785.1_ASM172178v1_genomic.gbff.gz,5158,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
179,GCF_003851405.1,5220.2,GCF_003851405.1_ASM385140v1_genomic.gbff.gz,5401,5175,5,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
180,GCF_000344475.3,5282.2,GCF_000344475.3_ASM34447v3_genomic.gbff.gz,5460,5237,5,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,Pseudomonas syringae
181,GCF_003851865.1,5210.0,GCF_003851865.1_ASM385186v1_genomic.gbff.gz,5391,5164,5,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
182,GCF_004010895.1,5156.0,GCF_004010895.1_ASM401089v1_genomic.gbff.gz,5157,5155,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
183,GCF_003073615.1,5157.0,GCF_003073615.1_ASM307361v1_genomic.gbff.gz,5157,5157,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
184,GCF_001874465.1,5156.5,GCF_001874465.1_ASM187446v1_genomic.gbff.gz,5157,5156,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
185,GCF_001636055.1,5195.833333333333,GCF_001636055.1_ASM163605v1_genomic.gbff.gz,5394,5136,6,Pseudomonas putida,Pseudomonas putida
186,GCF_000219605.1,5182.0,GCF_000219605.1_ASM21960v1_genomic.gbff.gz,5182,5182,4,Pseudomonas stutzeri,Pseudomonas stutzeri
187,GCF_003410335.1,5267.6,GCF_003410335.1_ASM341033v1_genomic.gbff.gz,5448,5210,5,Pseudomonas fluorescens,Pseudomonas fluorescens
188,GCF_002968955.1,5155.75,GCF_002968955.1_ASM296895v1_genomic.gbff.gz,5156,5155,4,Pseudomonas aeruginosa,Pseudomonas aeruginosa
189,GCF_002356095.1,5115.8,GCF_002356095.1_ASM235609v1_genomic.gbff.gz,5251,4996,5,Pseudomonas putida,Pseudomonas putida
190,GCF_003008615.1,5200.0,GCF_003008615.1_ASM300861v1_genomic.gbff.gz,5200,5200,4,Pseudomonas mendocina,Pseudomonas mendocina
191,GCF_003001655.1,5201.0,GCF_003001655.1_ASM300165v1_genomic.gbff.gz,5201,5201,4,Pseudomonas stutzeri,Pseudomonas stutzeri
192,GCF_002943995.1,5085.4,GCF_002943995.1_ASM294399v1_genomic.gbff.gz,5179,4958,5,Pseudomonas monteilii,Pseudomonas monteilii
193,GCF_000012245.1,5287.0,GCF_000012245.1_ASM1224v1_genomic.gbff.gz,5456,5238,5,Pseudomonas syringae pv. syringae B728a,Pseudomonas syringae
194,GCF_003671975.1,5048.4,GCF_003671975.1_ASM367197v1_genomic.gbff.gz,5184,4958,5,Pseudomonas monteilii,Pseudomonas monteilii
195,GCF_003851835.1,5222.2,GCF_003851835.1_ASM385183v1_genomic.gbff.gz,5403,5177,5,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
196,GCF_003850465.1,5212.4,GCF_003850465.1_ASM385046v1_genomic.gbff.gz,5390,5165,5,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
197,GCF_000410575.1,4817.833333333333,GCF_000410575.1_ASM41057v1_genomic.gbff.gz,5258,3152,6,Pseudomonas putida H8234,Pseudomonas putida
198,GCF_001038645.1,5174.75,GCF_001038645.1_ASM103864v1_genomic.gbff.gz,5176,5173,4,Pseudomonas stutzeri,Pseudomonas stutzeri
199,GCF_003851445.1,5214.2,GCF_003851445.1_ASM385144v1_genomic.gbff.gz,5391,5165,5,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
