,Accession Number,Consensus 16S,Consensus 23S,Consensus 5S,Copies 16S,Copies 23S,Copies 5S,File Name,Longest 16S,Longest 23S,Longest 5S,Organism,Species
155,GCF_900205265.1,1557,3027,116,7,7,8,GCF_900205265.1_lupe_GEN0059_5_genomic.gbff.gz,1555,3026,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
156,GCF_002025705.1,1547,2917,116,7,7,8,GCF_002025705.1_ASM202570v1_genomic.gbff.gz,1547,2916,116,Pseudomonas putida,Pseudomonas putida
157,GCF_001632245.1,1544,2912,116,4,4,4,GCF_001632245.1_ASM163224v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
158,GCF_003851365.1,1538,2916,116,5,5,7,GCF_003851365.1_ASM385136v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
159,GCF_000255955.1,1509,2889,118,2,2,2,GCF_000255955.1_ASM25595v1_genomic.gbff.gz,1509,2889,118,Helicobacter pylori ELS37,Helicobacter pylori
160,GCF_003671975.1,1538,2917,117,7,7,8,GCF_003671975.1_ASM367197v1_genomic.gbff.gz,1538,2917,116,Pseudomonas monteilii,Pseudomonas monteilii
161,GCF_002951975.1,1508,2889,118,2,2,2,GCF_002951975.1_ASM295197v1_genomic.gbff.gz,1509,2889,118,Helicobacter pylori,Helicobacter pylori
162,GCF_000827025.1,1510,2889,118,2,2,2,GCF_000827025.1_ASM82702v1_genomic.gbff.gz,1449,2869,118,Helicobacter pylori,Helicobacter pylori
163,GCF_000009465.1,1551,2898,114,4,4,4,GCF_000009465.1_ASM946v1_genomic.gbff.gz,1551,2897,114,Neisseria meningitidis FAM18,Neisseria meningitidis
164,GCF_002906555.1,1509,2888,118,2,2,2,GCF_002906555.1_ASM290655v1_genomic.gbff.gz,1509,2888,118,Helicobacter pylori,Helicobacter pylori
165,GCF_900120315.1,1509,2890,118,2,2,2,GCF_900120315.1_HE170_09_genomic.gbff.gz,1509,2890,118,Helicobacter pylori,Helicobacter pylori
166,GCF_001697785.1,1551,2898,114,4,4,4,GCF_001697785.1_ASM169778v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
167,GCF_900636995.1,1538,2916,116,5,5,6,GCF_900636995.1_46338_G02_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis,Pseudomonas chlororaphis
168,GCF_001047255.1,1551,2898,114,4,4,4,GCF_001047255.1_ASM104725v1_genomic.gbff.gz,1551,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
169,GCF_003710205.1,1554,3136,116,7,7,8,GCF_003710205.1_ASM371020v1_genomic.gbff.gz,1552,2927,116,Salmonella enterica subsp. enterica serovar Mbandaka,Salmonella enterica
170,GCF_001307275.1,1538,2916,116,5,5,6,GCF_001307275.1_ASM130727v1_genomic.gbff.gz,1538,2916,116,Pseudomonas fluorescens,Pseudomonas fluorescens
171,GCF_003355435.1,1548,2898,114,4,4,4,GCF_003355435.1_ASM335543v1_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
172,GCF_000307835.1,1509,2889,118,2,2,2,GCF_000307835.1_ASM30783v1_genomic.gbff.gz,1506,2888,118,Helicobacter pylori Rif2,Helicobacter pylori
173,GCF_002210025.1,1556,3113,116,7,7,8,GCF_002210025.1_ASM221002v1_genomic.gbff.gz,1554,2927,116,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica
174,GCF_900235835.1,1540,2917,116,5,5,6,GCF_900235835.1_CFBP3846_genomic.gbff.gz,1540,2917,116,Pseudomonas syringae pv. avii,Pseudomonas syringae
175,GCF_002442555.1,1546,2914,116,4,4,4,GCF_002442555.1_ASM244255v1_genomic.gbff.gz,1546,2914,116,Pseudomonas mendocina,Pseudomonas mendocina
176,GCF_003851605.1,1538,2916,116,6,6,7,GCF_003851605.1_ASM385160v1_genomic.gbff.gz,1538,2916,116,Pseudomonas orientalis,Pseudomonas orientalis
177,GCF_001697385.1,1551,2898,114,4,4,4,GCF_001697385.1_ASM169738v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
178,GCF_001029835.1,1551,2898,114,4,4,4,GCF_001029835.1_ASM102983v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis M0579,Neisseria meningitidis
179,GCF_000623615.2,1556,3066,116,7,7,8,GCF_000623615.2_ASM62361v2_genomic.gbff.gz,1554,2925,116,Salmonella enterica subsp. enterica serovar Enteritidis str. SA19960848,Salmonella enterica
180,GCF_900635325.1,1554,2929,116,7,7,8,GCF_900635325.1_41556_D01_genomic.gbff.gz,1552,2929,116,Escherichia coli,Escherichia coli
181,GCF_000093185.1,1511,2890,118,2,2,2,GCF_000093185.1_ASM9318v1_genomic.gbff.gz,1511,2890,118,Helicobacter pylori v225d,Helicobacter pylori
182,GCF_000626375.1,1556,3066,116,7,7,8,GCF_000626375.1_ASM62637v1_genomic.gbff.gz,1554,2925,116,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20111095,Salmonella enterica
183,GCF_002953435.1,1554,2930,116,7,7,7,GCF_002953435.1_ASM295343v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
184,GCF_002285455.1,1556,2932,116,7,7,8,GCF_002285455.1_ASM228545v1_genomic.gbff.gz,1554,2923,116,Escherichia albertii,Escherichia albertii
185,GCF_002073235.2,1548,2898,114,4,4,4,GCF_002073235.2_ASM207323v2_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
186,GCF_000147855.2,1557,2931,116,7,7,8,GCF_000147855.2_ASM14785v3_genomic.gbff.gz,1556,2929,116,Escherichia coli KO11FL,Escherichia coli
187,GCF_001900225.1,1544,2912,116,4,4,4,GCF_001900225.1_ASM190022v1_genomic.gbff.gz,1285,2512,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
188,GCF_000293885.2,1547,2921,116,6,6,7,GCF_000293885.2_ASM29388v3_genomic.gbff.gz,1547,2916,116,Pseudomonas fluorescens NCIMB 11764,Pseudomonas fluorescens
189,GCF_003851905.1,1538,2916,116,5,5,6,GCF_003851905.1_ASM385190v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
190,GCF_003028335.1,1537,2912,116,4,4,4,GCF_003028335.1_ASM302833v1_genomic.gbff.gz,1537,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
191,GCF_003851805.1,1538,2916,116,5,5,6,GCF_003851805.1_ASM385180v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
192,GCF_000733715.2,1546,2914,116,4,4,4,GCF_000733715.2_ASM73371v2_genomic.gbff.gz,1546,2914,116,Pseudomonas mendocina S5.2,Pseudomonas mendocina
193,GCF_004010655.1,1554,2938,116,7,7,8,GCF_004010655.1_ASM401065v1_genomic.gbff.gz,1552,2930,116,Escherichia coli,Escherichia coli
194,GCF_002024305.1,1548,2917,116,5,5,6,GCF_002024305.1_ASM202430v1_genomic.gbff.gz,1548,2917,116,Pseudomonas syringae pv. actinidiae,Pseudomonas syringae
195,GCF_001482725.1,1548,2918,116,5,5,6,GCF_001482725.1_ASM148272v1_genomic.gbff.gz,1548,2918,116,Pseudomonas syringae pv. lapsa,Pseudomonas syringae
196,GCF_001516265.1,1544,2912,116,4,4,4,GCF_001516265.1_ASM151626v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
197,GCF_000007545.1,1557,3028,116,7,7,8,GCF_000007545.1_ASM754v1_genomic.gbff.gz,1556,3027,116,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,Salmonella enterica
198,GCF_000009105.1,1551,2898,114,4,4,4,GCF_000009105.1_ASM910v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis Z2491,Neisseria meningitidis
199,GCF_000224555.1,1511,2889,118,2,2,2,GCF_000224555.1_ASM22455v1_genomic.gbff.gz,1511,2889,118,Helicobacter pylori Puno135,Helicobacter pylori
200,GCF_003073955.1,1554,2931,116,7,7,8,GCF_003073955.1_ASM307395v1_genomic.gbff.gz,1553,2929,116,Escherichia coli,Escherichia coli
201,GCF_001697985.1,1551,2898,114,4,4,4,GCF_001697985.1_ASM169798v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
202,GCF_001900885.1,1557,2935,116,7,7,8,GCF_001900885.1_ASM190088v1_genomic.gbff.gz,1556,2931,116,Escherichia coli,Escherichia coli
203,GCF_003718655.1,1554,3027,116,7,7,9,GCF_003718655.1_ASM371865v1_genomic.gbff.gz,1554,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
204,GCF_001697545.1,1551,2898,114,4,4,4,GCF_001697545.1_ASM169754v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
205,GCF_001975345.1,1558,3110,116,7,7,8,GCF_001975345.1_ASM197534v1_genomic.gbff.gz,1556,2927,116,Salmonella enterica subsp. enterica serovar Borreze str. SA20041063,Salmonella enterica
206,GCF_000600145.1,1511,2888,118,2,2,2,GCF_000600145.1_ASM60014v1_genomic.gbff.gz,1511,2888,118,Helicobacter pylori oki154,Helicobacter pylori
207,GCF_003952685.1,1538,2918,116,7,7,8,GCF_003952685.1_ASM395268v1_genomic.gbff.gz,1538,2917,116,Pseudomonas stutzeri,Pseudomonas stutzeri
208,GCF_003626995.1,1538,2918,116,5,5,6,GCF_003626995.1_ASM362699v1_genomic.gbff.gz,1538,2918,116,Pseudomonas fluorescens,Pseudomonas fluorescens
209,GCF_000252995.1,1554,3026,116,7,7,8,GCF_000252995.1_ASM25299v1_genomic.gbff.gz,1554,2926,116,Salmonella bongori NCTC 12419,Salmonella bongori
210,GCF_001746815.1,1546,2918,116,5,5,6,GCF_001746815.1_ASM174681v1_genomic.gbff.gz,1546,2916,116,Pseudomonas brassicacearum,Pseudomonas brassicacearum
211,GCF_000026645.1,1544,2912,116,4,4,4,GCF_000026645.1_ASM2664v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa LESB58,Pseudomonas aeruginosa
212,GCF_001792835.1,1544,2912,116,4,4,4,GCF_001792835.1_ASM179283v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
213,GCF_003047145.2,1538,2915,116,4,4,4,GCF_003047145.2_ASM304714v2_genomic.gbff.gz,1537,2915,116,Pseudomonas stutzeri,Pseudomonas stutzeri
214,GCF_900618315.1,1537,2912,116,4,4,4,GCF_900618315.1_paerg010_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
215,GCF_001515915.2,1544,2912,116,4,4,4,GCF_001515915.2_ASM151591v2_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
216,GCF_003851865.1,1538,2916,116,5,5,6,GCF_003851865.1_ASM385186v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis
217,GCF_002104595.1,1544,2912,116,4,4,4,GCF_002104595.1_ASM210459v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
218,GCF_002073655.2,1548,2898,114,4,4,4,GCF_002073655.2_ASM207365v2_genomic.gbff.gz,1548,2898,114,Neisseria gonorrhoeae,Neisseria gonorrhoeae
219,GCF_000685745.1,1510,2890,118,2,2,2,GCF_000685745.1_ASM68574v1_genomic.gbff.gz,1510,2890,118,Helicobacter pylori,Helicobacter pylori
220,GCF_001900675.1,1556,2932,116,7,7,8,GCF_001900675.1_ASM190067v1_genomic.gbff.gz,1556,2926,116,Escherichia coli,Escherichia coli
221,GCF_002591135.1,1556,2926,116,7,7,8,GCF_002591135.1_ASM259113v1_genomic.gbff.gz,1554,2921,116,Escherichia coli,Escherichia coli
222,GCF_001721825.1,1544,2912,116,4,4,4,GCF_001721825.1_ASM172182v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
223,GCF_003851305.1,1538,2916,116,5,5,6,GCF_003851305.1_ASM385130v1_genomic.gbff.gz,1538,2915,116,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
224,GCF_003851525.1,1538,2916,116,6,6,7,GCF_003851525.1_ASM385152v1_genomic.gbff.gz,1538,2916,116,Pseudomonas synxantha,Pseudomonas synxantha
225,GCF_001534745.1,1547,2916,116,7,7,7,GCF_001534745.1_ASM153474v1_genomic.gbff.gz,1546,2215,116,Pseudomonas monteilii,Pseudomonas monteilii
226,GCF_002211865.1,1558,3115,116,7,7,8,GCF_002211865.1_ASM221186v1_genomic.gbff.gz,1556,2934,116,Salmonella enterica subsp. salamae serovar 55:k:z39 str. 1315K,Salmonella enterica
227,GCF_001441205.1,1556,3114,116,7,7,8,GCF_001441205.1_ASM144120v1_genomic.gbff.gz,1554,2926,116,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica
228,GCF_000829095.1,1510,2889,118,2,2,2,GCF_000829095.1_ASM82909v1_genomic.gbff.gz,1445,2869,118,Helicobacter pylori 26695-1,Helicobacter pylori
229,GCF_000730425.1,1547,2918,116,6,6,7,GCF_000730425.1_ASM73042v1_genomic.gbff.gz,1547,2918,116,Pseudomonas fluorescens,Pseudomonas fluorescens
230,GCF_001697725.1,1551,2898,114,4,4,4,GCF_001697725.1_ASM169772v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
231,GCF_003050665.1,1509,2888,118,2,2,2,GCF_003050665.1_ASM305066v1_genomic.gbff.gz,1509,2887,118,Helicobacter pylori,Helicobacter pylori
232,GCF_001119245.2,1556,3027,116,7,7,8,GCF_001119245.2_76_1292_genomic.gbff.gz,1556,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
233,GCF_000231175.1,1514,2967,117,2,2,1,GCF_000231175.1_ASM23117v1_genomic.gbff.gz,1514,2967,117,Leptospira interrogans serovar Lai str. IPAV,Leptospira interrogans
234,GCF_002846135.1,1554,2930,116,7,7,8,GCF_002846135.1_ASM284613v1_genomic.gbff.gz,1551,2919,116,Escherichia coli,Escherichia coli
235,GCF_001047655.1,1514,2967,117,2,2,1,GCF_001047655.1_ASM104765v1_genomic.gbff.gz,1514,2967,117,Leptospira interrogans serovar Manilae,Leptospira interrogans
236,GCF_000267545.1,1546,2916,116,4,4,4,GCF_000267545.1_ASM26754v1_genomic.gbff.gz,1546,2915,116,Pseudomonas stutzeri CCUG 29243,Pseudomonas stutzeri
237,GCF_001750825.1,1551,2899,114,4,4,4,GCF_001750825.1_ASM175082v1_genomic.gbff.gz,1551,2894,114,Neisseria meningitidis,Neisseria meningitidis
238,GCF_002056635.1,1554,2925,116,7,7,8,GCF_002056635.1_ASM205663v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
239,GCF_001913215.1,1548,2917,116,5,5,6,GCF_001913215.1_ASM191321v1_genomic.gbff.gz,1547,2917,116,Pseudomonas syringae pv. actinidiae,Pseudomonas syringae
240,GCF_002355875.1,1550,2916,116,5,5,6,GCF_002355875.1_ASM235587v1_genomic.gbff.gz,1547,2916,116,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
241,GCF_002357915.1,1556,2933,116,7,7,8,GCF_002357915.1_ASM235791v1_genomic.gbff.gz,1556,2926,116,Escherichia coli,Escherichia coli
242,GCF_001697605.1,1551,2898,114,4,4,4,GCF_001697605.1_ASM169760v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
243,GCF_000600045.1,1510,2888,118,2,2,2,GCF_000600045.1_ASM60004v1_genomic.gbff.gz,1510,2888,118,Helicobacter pylori oki102,Helicobacter pylori
244,GCF_001900615.1,1554,2925,116,7,7,8,GCF_001900615.1_ASM190061v1_genomic.gbff.gz,1554,2925,116,Escherichia coli,Escherichia coli
245,GCF_001697765.1,1551,2898,114,4,4,4,GCF_001697765.1_ASM169776v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
246,GCF_000284555.1,1544,2912,116,4,4,4,GCF_000284555.1_ASM28455v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa NCGM2.S1,Pseudomonas aeruginosa
247,GCF_001697505.1,1551,2898,114,4,4,4,GCF_001697505.1_ASM169750v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
248,GCF_001675145.1,1556,2925,116,7,7,8,GCF_001675145.1_ASM167514v1_genomic.gbff.gz,1556,2925,116,Escherichia coli,Escherichia coli
249,GCF_003018535.1,1554,2936,116,7,7,8,GCF_003018535.1_ASM301853v1_genomic.gbff.gz,1554,2930,116,Escherichia coli,Escherichia coli
250,GCF_000359505.1,1545,2912,116,4,4,4,GCF_000359505.1_ASM35950v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa B136-33,Pseudomonas aeruginosa
251,GCF_001975265.1,1556,3069,116,7,7,8,GCF_001975265.1_ASM197526v1_genomic.gbff.gz,1552,2923,116,Salmonella enterica subsp. enterica serovar Blegdam str. S-1824,Salmonella enterica
252,GCF_001362195.2,1557,3027,116,7,7,8,GCF_001362195.2_H12ESR00755-001A_genomic.gbff.gz,1555,3025,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
253,GCF_000829885.1,1544,2912,116,4,4,4,GCF_000829885.1_ASM82988v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
254,GCF_003851835.1,1538,2916,116,5,5,6,GCF_003851835.1_ASM385183v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. aurantiaca,Pseudomonas chlororaphis
255,GCF_000833635.2,1556,2933,116,7,7,8,GCF_000833635.2_ASM83363v2_genomic.gbff.gz,1556,2925,116,Escherichia coli,Escherichia coli
256,GCF_003718195.1,1554,3027,116,7,7,7,GCF_003718195.1_ASM371819v1_genomic.gbff.gz,1554,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
257,GCF_900618305.1,1537,2914,116,4,4,4,GCF_900618305.1_paerg009_genomic.gbff.gz,1531,2801,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
258,GCF_000270005.1,1511,2889,118,2,2,2,GCF_000270005.1_ASM27000v1_genomic.gbff.gz,1511,2889,118,Helicobacter pylori F16,Helicobacter pylori
259,GCF_001623685.1,1556,3112,116,7,7,8,GCF_001623685.1_ASM162368v1_genomic.gbff.gz,1554,3011,116,Salmonella enterica subsp. enterica serovar Typhimurium str. CDC 2011K-1702,Salmonella enterica
260,GCF_002736125.1,1547,2917,116,7,7,8,GCF_002736125.1_ASM273612v1_genomic.gbff.gz,1547,2915,116,Pseudomonas putida,Pseudomonas putida
261,GCF_000828955.1,1509,2888,118,2,2,2,GCF_000828955.1_ASM82895v1_genomic.gbff.gz,1509,2888,118,Helicobacter pylori NY40,Helicobacter pylori
262,GCF_000191465.1,1551,2898,114,4,4,4,GCF_000191465.1_ASM19146v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis M01-240149,Neisseria meningitidis
263,GCF_000623375.1,1561,3080,116,7,7,8,GCF_000623375.1_ASM62337v1_genomic.gbff.gz,1554,2927,116,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110356,Salmonella enterica
264,GCF_000020885.1,1558,3110,116,7,7,8,GCF_000020885.1_ASM2088v1_genomic.gbff.gz,1555,2927,116,Salmonella enterica subsp. enterica serovar Agona str. SL483,Salmonella enterica
265,GCF_002073275.2,1548,2898,114,4,4,4,GCF_002073275.2_ASM207327v2_genomic.gbff.gz,1548,2898,114,Neisseria meningitidis,Neisseria meningitidis
266,GCF_001518975.1,1544,2912,116,4,4,4,GCF_001518975.1_ASM151897v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
267,GCF_002761075.1,1554,3065,116,7,7,8,GCF_002761075.1_ASM276107v1_genomic.gbff.gz,1552,2924,116,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enterica
268,GCF_002119485.1,1556,3029,116,7,7,8,GCF_002119485.1_ASM211948v1_genomic.gbff.gz,1554,2924,116,Salmonella enterica,Salmonella enterica
269,GCF_002850675.3,1554,2933,116,7,7,8,GCF_002850675.3_ASM285067v4_genomic.gbff.gz,1554,2927,116,Escherichia coli,Escherichia coli
270,GCF_001516185.2,1544,2912,116,4,4,4,GCF_001516185.2_ASM151618v2_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
271,GCF_003612935.1,1538,2916,116,5,5,6,GCF_003612935.1_ASM361293v1_genomic.gbff.gz,1538,2916,116,Pseudomonas fluorescens,Pseudomonas fluorescens
272,GCF_003717075.1,1554,3027,116,7,7,8,GCF_003717075.1_ASM371707v1_genomic.gbff.gz,1554,3027,116,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica
273,GCF_001890165.1,1556,3010,116,7,7,8,GCF_001890165.1_ASM189016v1_genomic.gbff.gz,1554,2926,116,Salmonella enterica subsp. enterica serovar Newport,Salmonella enterica
274,GCF_003032035.1,1554,3066,116,7,7,8,GCF_003032035.1_ASM303203v1_genomic.gbff.gz,1552,2925,116,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella enterica
275,GCF_000091345.1,1510,2890,118,2,2,2,GCF_000091345.1_ASM9134v1_genomic.gbff.gz,1510,2890,118,Helicobacter pylori B38,Helicobacter pylori
276,GCF_000623335.1,1557,3068,116,7,7,8,GCF_000623335.1_ASM62333v1_genomic.gbff.gz,1554,2926,116,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20110358,Salmonella enterica
277,GCF_000498315.1,1510,2888,118,2,2,2,GCF_000498315.1_ASM49831v1_genomic.gbff.gz,1510,2888,118,Helicobacter pylori BM012A,Helicobacter pylori
278,GCF_002762135.3,1554,3113,116,7,7,8,GCF_002762135.3_ASM276213v3_genomic.gbff.gz,1552,2926,116,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica
279,GCF_000317875.1,1511,2891,118,2,2,2,GCF_000317875.1_ASM31787v1_genomic.gbff.gz,1511,2890,118,Helicobacter pylori Aklavik86,Helicobacter pylori
280,GCF_001953695.1,1556,3112,116,7,7,8,GCF_001953695.1_ASM195369v1_genomic.gbff.gz,1554,2926,116,Salmonella enterica subsp. enterica serovar Saintpaul,Salmonella enterica
281,GCF_000941035.1,1514,2967,117,2,2,1,GCF_000941035.1_ASM94103v1_genomic.gbff.gz,1514,2967,117,Leptospira interrogans serovar Linhai str. 56609,Leptospira interrogans
282,GCF_001879525.1,1544,2915,116,4,4,4,GCF_001879525.1_ASM187952v1_genomic.gbff.gz,1544,2911,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
283,GCF_000800235.1,1551,2898,114,4,4,4,GCF_000800235.1_ASM80023v1_genomic.gbff.gz,1551,2895,114,Neisseria meningitidis,Neisseria meningitidis
284,GCF_001697445.1,1551,2898,114,4,4,4,GCF_001697445.1_ASM169744v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
285,GCF_002075065.1,1544,2912,116,4,4,4,GCF_002075065.1_ASM207506v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
286,GCF_002741375.1,1556,2933,116,7,7,8,GCF_002741375.1_ASM274137v1_genomic.gbff.gz,1554,2924,116,Escherichia albertii,Escherichia albertii
287,GCF_000452705.1,1548,2918,116,5,5,6,GCF_000452705.1_ASM45270v3_genomic.gbff.gz,1546,2918,116,Pseudomonas syringae CC1557,Pseudomonas syringae
288,GCF_001280325.1,1555,2930,116,7,7,8,GCF_001280325.1_ASM128032v1_genomic.gbff.gz,1552,2923,116,Escherichia coli,Escherichia coli
289,GCF_001697405.1,1551,2898,114,4,4,4,GCF_001697405.1_ASM169740v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
290,GCF_001020945.2,1556,2933,116,7,7,7,GCF_001020945.2_ASM102094v2_genomic.gbff.gz,1556,2930,116,Escherichia coli K-12,Escherichia coli
291,GCF_900185255.1,1544,2912,116,4,4,4,GCF_900185255.1_NN2_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa C-NN2,Pseudomonas aeruginosa
292,GCF_002313105.1,1556,3066,116,7,7,8,GCF_002313105.1_ASM231310v1_genomic.gbff.gz,1554,2925,116,Salmonella enterica,Salmonella enterica
293,GCF_001697205.1,1551,2898,114,4,4,4,GCF_001697205.1_ASM169720v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis,Neisseria meningitidis
294,GCF_000412675.1,1547,2916,116,7,7,8,GCF_000412675.1_ASM41267v1_genomic.gbff.gz,1547,2916,116,Pseudomonas putida NBRC 14164,Pseudomonas putida
295,GCF_002356095.1,1547,2917,116,7,7,8,GCF_002356095.1_ASM235609v1_genomic.gbff.gz,1547,2916,116,Pseudomonas putida,Pseudomonas putida
296,GCF_000191485.1,1551,2898,114,4,4,4,GCF_000191485.1_ASM19148v1_genomic.gbff.gz,1551,2898,114,Neisseria meningitidis M01-240355,Neisseria meningitidis
297,GCF_003850485.1,1538,2916,116,5,5,6,GCF_003850485.1_ASM385048v1_genomic.gbff.gz,1538,2916,116,Pseudomonas chlororaphis subsp. piscium,Pseudomonas chlororaphis
298,GCF_900475215.1,1538,2916,116,6,6,7,GCF_900475215.1_42727_B01_genomic.gbff.gz,1538,2916,116,Pseudomonas fluorescens,Pseudomonas fluorescens
299,GCF_001281365.1,1548,2918,116,5,5,6,GCF_001281365.1_ASM128136v1_genomic.gbff.gz,1548,2917,116,Pseudomonas syringae UMAF0158,Pseudomonas syringae
300,GCF_003332705.2,1537,2912,116,4,4,4,GCF_003332705.2_ASM333270v2_genomic.gbff.gz,1537,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
301,GCF_000237065.1,1546,2917,116,5,5,6,GCF_000237065.1_ASM23706v1_genomic.gbff.gz,1546,2916,116,Pseudomonas fluorescens F113,Pseudomonas fluorescens
302,GCF_000008785.1,1509,2888,118,2,2,2,GCF_000008785.1_ASM878v1_genomic.gbff.gz,1509,2888,118,Helicobacter pylori J99,Helicobacter pylori
303,GCF_900119955.1,1509,2890,118,2,2,2,GCF_900119955.1_HE171_09_genomic.gbff.gz,1509,2890,118,Helicobacter pylori,Helicobacter pylori
304,GCF_003017805.1,1554,2931,116,7,7,8,GCF_003017805.1_ASM301780v1_genomic.gbff.gz,1554,2931,116,Escherichia coli,Escherichia coli
305,GCF_003290365.1,1538,2917,116,6,6,7,GCF_003290365.1_ASM329036v1_genomic.gbff.gz,1535,2903,116,Pseudomonas putida,Pseudomonas putida
306,GCF_000013965.1,1515,3632,117,2,2,1,GCF_000013965.1_ASM1396v1_genomic.gbff.gz,1515,3632,117,Leptospira borgpetersenii serovar Hardjo-bovis str. JB197,Leptospira borgpetersenii
307,GCF_003864095.1,1552,2929,116,7,7,8,GCF_003864095.1_ASM386409v1_genomic.gbff.gz,1552,2929,116,Escherichia albertii,Escherichia albertii
308,GCF_003851465.1,1538,2916,116,6,6,7,GCF_003851465.1_ASM385146v1_genomic.gbff.gz,1538,2915,116,Pseudomonas synxantha,Pseudomonas synxantha
309,GCF_000829275.1,1544,2912,116,4,4,4,GCF_000829275.1_ASM82927v1_genomic.gbff.gz,1544,2912,116,Pseudomonas aeruginosa,Pseudomonas aeruginosa
