,Organism (NCBI),Accession Number,File Name,Species (GTDB),Longest 16S,Consensus 16S,Copies 16S,Longest 23S,Consensus 23S,Copies 23S,Longest 5S,Consensus 5S,Copies 5S
47,Escherichia coli O157:H7,GCF_001651925.2,GCF_001651925.2_ASM165192v2_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2932,2932,7,116,116,8
466,Escherichia coli O157:H7,GCF_001651965.2,GCF_001651965.2_ASM165196v2_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2932,2932,7,116,116,8
430,Escherichia coli O157:H7,GCF_001695515.1,GCF_001695515.1_ASM169551v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2932,2932,7,116,116,8
43,Escherichia coli O157:H7,GCF_001753445.1,GCF_001753445.1_ASM175344v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
398,Escherichia coli O157:H7,GCF_001753465.1,GCF_001753465.1_ASM175346v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
266,Escherichia coli O157:H7,GCF_001753525.1,GCF_001753525.1_ASM175352v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
361,Escherichia coli O157:H7,GCF_001753545.1,GCF_001753545.1_ASM175354v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
407,Escherichia coli O157:H7,GCF_001753565.1,GCF_001753565.1_ASM175356v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
126,Escherichia coli O157:H7 str. EC4115,GCF_000021125.1,GCF_000021125.1_ASM2112v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2924,2939,7,116,116,8
166,Escherichia coli O157:H7 str. EDL933,GCF_000732965.1,GCF_000732965.1_ASM73296v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
335,Escherichia coli O157:H7 str. SS17,GCF_000730345.1,GCF_000730345.1_ASM73034v1_genomic.gbff.gz,Escherichia dysenteriae,1553,1556,7,2926,2942,7,116,116,8
5,Escherichia coli O157:H7 str. SS52,GCF_000803705.1,GCF_000803705.1_ASM80370v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2929,2938,7,116,116,8
457,Escherichia coli O169:H41,GCF_002741495.1,GCF_002741495.1_ASM274149v1_genomic.gbff.gz,Escherichia dysenteriae,1556,1556,7,2924,2939,7,116,116,8
72,Escherichia coli O43 str. RM10042,GCF_003112205.1,GCF_003112205.1_ASM311220v1_genomic.gbff.gz,Escherichia flexneri,1551,1554,7,2924,2931,7,116,116,8
10,Escherichia coli O55:H7 str. CB9615,GCF_000025165.1,GCF_000025165.1_ASM2516v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2931,7,116,116,8
256,Escherichia coli O7:K1 str. CE10,GCF_000227625.1,GCF_000227625.1_ASM22762v1_genomic.gbff.gz,Escherichia coli_D,1554,1556,7,2925,2931,7,116,116,8
116,Escherichia coli PCN033,GCF_000219515.2,GCF_000219515.2_ASM21951v3_genomic.gbff.gz,Escherichia coli_D,1552,1554,7,2925,2925,7,116,116,8
490,Escherichia coli SMS-3-5,GCF_000019645.1,GCF_000019645.1_ASM1964v1_genomic.gbff.gz,Escherichia coli_D,1551,1554,7,2923,2927,7,116,116,8
49,Escherichia coli str. K-12 substr. W3110,GCF_000010245.2,GCF_000010245.2_ASM1024v1_genomic.gbff.gz,Escherichia flexneri,1556,1556,7,2925,2933,7,116,116,8
2,Escherichia coli UM146,GCF_000148605.1,GCF_000148605.1_ASM14860v1_genomic.gbff.gz,Escherichia coli,1554,1556,7,2556,2931,7,116,116,8
16,Escherichia coli Xuzhou21,GCF_000262125.1,GCF_000262125.1_ASM26212v1_genomic.gbff.gz,Escherichia dysenteriae,1554,1556,7,2930,2938,7,116,116,8
53,Klebsiella aerogenes EA1509E,GCF_000334515.1,GCF_000334515.1_ASM33451v1_genomic.gbff.gz,Klebsiella_B aerogenes,1544,1555,8,2930,2935,8,116,116,10
375,Klebsiella aerogenes,GCF_001021995.1,GCF_001021995.1_ASM102199v1_genomic.gbff.gz,Klebsiella_B aerogenes,1554,1554,8,2931,2933,8,116,116,9
509,Klebsiella aerogenes,GCF_001559215.2,GCF_001559215.2_ASM155921v2_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2926,2933,8,116,116,9
436,Klebsiella aerogenes,GCF_001571545.2,GCF_001571545.2_ASM157154v2_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2926,2934,8,116,116,9
585,Klebsiella aerogenes,GCF_001593585.2,GCF_001593585.2_ASM159358v2_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2925,2932,8,116,116,9
327,Klebsiella aerogenes,GCF_002591115.1,GCF_002591115.1_ASM259111v1_genomic.gbff.gz,Klebsiella_B aerogenes,1553,1554,8,2930,2933,8,116,116,9
628,Klebsiella aerogenes,GCF_002796405.1,GCF_002796405.1_ASM279640v1_genomic.gbff.gz,Klebsiella_B aerogenes,1549,1550,8,2931,2932,8,116,116,9
441,Klebsiella aerogenes,GCF_002796425.1,GCF_002796425.1_ASM279642v1_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2931,2934,8,116,116,9
682,Klebsiella aerogenes,GCF_002796525.1,GCF_002796525.1_ASM279652v1_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2926,2933,8,116,116,9
468,Klebsiella aerogenes,GCF_003071285.1,GCF_003071285.1_ASM307128v1_genomic.gbff.gz,Klebsiella_B aerogenes,1550,1550,8,2926,2934,8,116,116,9
185,Klebsiella aerogenes KCTC 2190,GCF_000215745.1,GCF_000215745.1_ASM21574v1_genomic.gbff.gz,Klebsiella_B aerogenes,1554,1555,8,2905,2909,8,116,116,9
563,Klebsiella michiganensis E718,GCF_000276705.2,GCF_000276705.2_ASM27670v2_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,3042,8,116,116,9
54,Klebsiella michiganensis,GCF_000724525.1,GCF_000724525.1_ASM72452v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1560,8,2927,2927,8,116,117,9
643,Klebsiella michiganensis,GCF_002216835.1,GCF_002216835.1_ASM221683v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1554,8,2926,3042,8,116,116,9
241,Klebsiella michiganensis,GCF_002290285.1,GCF_002290285.1_ASM229028v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1554,8,2926,3042,8,116,116,9
282,Klebsiella michiganensis,GCF_003074075.1,GCF_003074075.1_ASM307407v1_genomic.gbff.gz,Klebsiella_A michiganensis,1549,1550,8,2926,3041,8,116,116,9
591,Klebsiella michiganensis HKOPL1,GCF_000632415.1,GCF_000632415.1_ASM63241v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,3040,3042,8,116,116,9
648,Klebsiella michiganensis KCTC 1686,GCF_000240325.1,GCF_000240325.1_ASM24032v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,3041,8,116,116,9
188,Klebsiella oxytoca,GCF_001022115.1,GCF_001022115.1_ASM102211v1_genomic.gbff.gz,Klebsiella_A oxytoca,1554,1554,8,2927,3041,8,116,116,9
190,Klebsiella oxytoca,GCF_001022195.1,GCF_001022195.1_ASM102219v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1554,8,2926,3042,8,116,116,9
305,Klebsiella oxytoca,GCF_001022295.1,GCF_001022295.1_ASM102229v1_genomic.gbff.gz,Klebsiella_A oxytoca,1554,1554,8,2927,3041,8,116,116,9
172,Klebsiella oxytoca,GCF_001870185.1,GCF_001870185.1_ASM187018v1_genomic.gbff.gz,Klebsiella_A oxytoca,1554,1554,8,2927,3041,8,116,116,9
545,Klebsiella oxytoca,GCF_001970835.1,GCF_001970835.1_ASM197083v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1554,8,2927,2927,8,116,117,9
543,Klebsiella oxytoca,GCF_002072655.1,GCF_002072655.1_ASM207265v1_genomic.gbff.gz,Klebsiella_A michiganensis,1554,1554,8,2926,3040,8,116,116,9
386,Klebsiella oxytoca,GCF_002906395.1,GCF_002906395.1_ASM290639v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,2927,8,116,117,9
651,Klebsiella oxytoca,GCF_002906415.1,GCF_002906415.1_ASM290641v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,3041,8,116,116,9
458,Klebsiella oxytoca,GCF_002906435.1,GCF_002906435.1_ASM290643v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,3041,8,116,116,9
257,Klebsiella oxytoca,GCF_002947505.1,GCF_002947505.1_ASM294750v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2925,2928,8,116,116,9
579,Klebsiella oxytoca,GCF_002984395.1,GCF_002984395.1_ASM298439v1_genomic.gbff.gz,Klebsiella_A oxytoca,1549,1550,8,2926,3042,8,116,116,9
583,Klebsiella oxytoca,GCF_003073975.1,GCF_003073975.1_ASM307397v1_genomic.gbff.gz,Klebsiella_A oxytoca,1550,1550,8,2926,3042,8,116,116,9
329,Klebsiella oxytoca KONIH1,GCF_000714655.1,GCF_000714655.1_ASM71465v1_genomic.gbff.gz,Klebsiella_A michiganensis,1550,1550,8,2927,2927,8,116,117,9
30,Klebsiella pneumoniae 342,GCF_000019565.1,GCF_000019565.1_ASM1956v1_genomic.gbff.gz,Klebsiella variicola,1550,1550,8,2925,2932,8,116,116,9
234,Klebsiella pneumoniae CG43,GCF_000474015.1,GCF_000474015.1_ASM47401v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2922,2934,8,116,116,9
131,Klebsiella pneumoniae DMC1097,GCF_000417225.2,GCF_000417225.2_ASM41722v2_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2924,8,116,116,9
90,Klebsiella pneumoniae,GCF_000364385.3,GCF_000364385.3_ASM36438v3_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
133,Klebsiella pneumoniae,GCF_000764615.1,GCF_000764615.1_ASM76461v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
24,Klebsiella pneumoniae,GCF_001456135.1,GCF_001456135.1_ASM145613v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
110,Klebsiella pneumoniae,GCF_001482345.1,GCF_001482345.1_ASM148234v1_genomic.gbff.gz,Klebsiella pneumoniae,1553,1554,8,2923,2923,8,116,116,9
258,Klebsiella pneumoniae,GCF_001548315.1,GCF_001548315.1_ASM154831v1_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2927,2932,8,116,116,9
186,Klebsiella pneumoniae,GCF_001648215.1,GCF_001648215.1_ASM164821v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2932,8,116,116,9
171,Klebsiella pneumoniae,GCF_001708225.1,GCF_001708225.1_ASM170822v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
343,Klebsiella pneumoniae,GCF_001709275.1,GCF_001709275.1_ASM170927v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2922,2923,8,116,116,9
29,Klebsiella pneumoniae,GCF_001709295.1,GCF_001709295.1_ASM170929v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2920,2923,8,116,116,9
123,Klebsiella pneumoniae,GCF_001902415.1,GCF_001902415.1_ASM190241v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
544,Klebsiella pneumoniae,GCF_001908655.1,GCF_001908655.1_ASM190865v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2926,8,116,116,9
70,Klebsiella pneumoniae,GCF_001908895.1,GCF_001908895.1_ASM190889v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
22,Klebsiella pneumoniae,GCF_001956965.1,GCF_001956965.1_ASM195696v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2926,8,116,116,9
276,Klebsiella pneumoniae,GCF_002156765.1,GCF_002156765.1_ASM215676v1_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2925,2931,8,116,116,9
502,Klebsiella pneumoniae,GCF_002180175.1,GCF_002180175.1_ASM218017v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
284,Klebsiella pneumoniae,GCF_002192375.1,GCF_002192375.1_ASM219237v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2926,8,116,116,9
681,Klebsiella pneumoniae,GCF_002197505.1,GCF_002197505.1_ASM219750v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
371,Klebsiella pneumoniae,GCF_002202195.1,GCF_002202195.1_ASM220219v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
31,Klebsiella pneumoniae,GCF_002202255.1,GCF_002202255.1_ASM220225v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
86,Klebsiella pneumoniae,GCF_002202275.1,GCF_002202275.1_ASM220227v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
659,Klebsiella pneumoniae,GCF_002587885.1,GCF_002587885.1_ASM258788v1_genomic.gbff.gz,Klebsiella pneumoniae,1553,1554,8,2920,2923,8,116,116,9
576,Klebsiella pneumoniae,GCF_002752815.1,GCF_002752815.1_ASM275281v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
577,Klebsiella pneumoniae,GCF_002752975.1,GCF_002752975.1_ASM275297v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
689,Klebsiella pneumoniae,GCF_002752995.1,GCF_002752995.1_ASM275299v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
102,Klebsiella pneumoniae,GCF_002753035.1,GCF_002753035.1_ASM275303v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
259,Klebsiella pneumoniae,GCF_002753165.1,GCF_002753165.1_ASM275316v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
365,Klebsiella pneumoniae,GCF_002833425.1,GCF_002833425.1_ASM283342v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
138,Klebsiella pneumoniae,GCF_002903005.1,GCF_002903005.1_ASM290300v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
125,Klebsiella pneumoniae,GCF_002903025.1,GCF_002903025.1_ASM290302v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
89,Klebsiella pneumoniae,GCF_002948565.1,GCF_002948565.1_ASM294856v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2922,2923,8,116,116,9
580,Klebsiella pneumoniae,GCF_003031325.1,GCF_003031325.1_ASM303132v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2922,2923,8,116,116,9
644,Klebsiella pneumoniae,GCF_003073315.1,GCF_003073315.1_ASM307331v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2924,8,116,116,9
1,Klebsiella pneumoniae JM45,GCF_000445405.1,GCF_000445405.1_ASM44540v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
442,Klebsiella pneumoniae subsp. pneumoniae,GCF_000742755.1,GCF_000742755.1_ASM74275v1_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
673,Klebsiella pneumoniae subsp. pneumoniae,GCF_000775375.1,GCF_000775375.1_ASM77537v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
264,Klebsiella pneumoniae subsp. pneumoniae,GCF_001280925.1,GCF_001280925.1_ASM128092v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1551,1551,8,2923,2924,8,116,116,8
506,Klebsiella pneumoniae subsp. pneumoniae,GCF_002852945.2,GCF_002852945.2_ASM285294v2_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
60,Klebsiella pneumoniae subsp. pneumoniae,GCF_002951555.1,GCF_002951555.1_ASM295155v1_genomic.gbff.gz,Klebsiella pneumoniae,1550,1550,8,2923,2923,8,116,116,9
381,Klebsiella pneumoniae UHKPC07,GCF_000417265.2,GCF_000417265.2_ASM41726v2_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2923,2923,8,116,116,9
650,Klebsiella pneumoniae UHKPC33,GCF_000417085.2,GCF_000417085.2_ASM41708v2_genomic.gbff.gz,Klebsiella pneumoniae,1554,1554,8,2921,2923,8,116,116,9
154,Klebsiella quasipneumoniae,GCF_001596075.2,GCF_001596075.2_ASM159607v2_genomic.gbff.gz,Klebsiella quasipneumoniae,1554,1554,8,2923,2923,8,116,116,9
452,Klebsiella quasipneumoniae,GCF_002240295.1,GCF_002240295.1_ASM224029v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1554,1554,8,2923,2923,8,116,116,9
489,Klebsiella quasipneumoniae,GCF_002953295.1,GCF_002953295.1_ASM295329v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2922,2923,8,116,116,9
515,Klebsiella quasipneumoniae,GCF_003020825.1,GCF_003020825.1_ASM302082v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2923,2924,8,116,116,9
373,Klebsiella quasipneumoniae,GCF_003146635.1,GCF_003146635.1_ASM314663v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2922,2925,8,116,116,9
359,Klebsiella quasipneumoniae,GCF_003146655.1,GCF_003146655.1_ASM314665v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2923,2925,8,116,116,9
582,Klebsiella quasipneumoniae,GCF_003146685.1,GCF_003146685.1_ASM314668v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2923,2925,8,116,116,9
197,Klebsiella quasipneumoniae subsp. similipneumoniae,GCF_003181175.1,GCF_003181175.1_ASM318117v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2923,2923,8,116,116,9
575,Klebsiella sp. LTGPAF-6F,GCF_001753185.1,GCF_001753185.1_ASM175318v1_genomic.gbff.gz,Klebsiella_A michiganensis,1552,1554,8,2921,3041,8,116,116,9
533,Klebsiella variicola At-22,GCF_000025465.1,GCF_000025465.1_ASM2546v1_genomic.gbff.gz,Klebsiella variicola,1554,1561,8,2925,2941,8,116,116,9
117,Klebsiella variicola,GCF_000812205.2,GCF_000812205.2_ASM81220v2_genomic.gbff.gz,Klebsiella variicola,1554,1564,8,2925,2946,8,116,118,9
63,Klebsiella variicola,GCF_000828055.2,GCF_000828055.2_ASM82805v2_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2925,2932,8,116,116,9
433,Klebsiella variicola,GCF_001278905.1,GCF_001278905.1_ASM127890v1_genomic.gbff.gz,Klebsiella quasipneumoniae,1550,1550,8,2923,2923,8,116,116,9
339,Klebsiella variicola,GCF_001989495.1,GCF_001989495.1_ASM198949v1_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2926,2932,8,116,116,9
71,Klebsiella variicola,GCF_001989515.1,GCF_001989515.1_ASM198951v1_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2926,2932,8,116,116,9
448,Klebsiella variicola,GCF_001989535.1,GCF_001989535.1_ASM198953v1_genomic.gbff.gz,Klebsiella variicola,1554,1554,8,2926,2932,8,116,116,9
523,Klebsiella variicola,GCF_002164805.2,GCF_002164805.2_ASM216480v2_genomic.gbff.gz,Klebsiella variicola,1550,1550,8,2926,2931,8,116,116,9
440,Klebsiella variicola,GCF_002852915.3,GCF_002852915.3_ASM285291v3_genomic.gbff.gz,Klebsiella variicola,1550,1550,8,2925,2930,8,116,116,9
246,Pseudomonas aeruginosa,GCF_001077475.1,GCF_001077475.1_ASM107747v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
616,Pseudomonas aeruginosa,GCF_001447845.1,GCF_001447845.1_ASM144784v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
287,Pseudomonas aeruginosa,GCF_001515845.2,GCF_001515845.2_ASM151584v2_genomic.gbff.gz,Pseudomonas aeruginosa,1155,1544,4,2912,2912,4,116,116,4
33,Pseudomonas aeruginosa,GCF_001516105.1,GCF_001516105.1_ASM151610v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
455,Pseudomonas aeruginosa,GCF_001542835.1,GCF_001542835.1_ASM154283v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
454,Pseudomonas aeruginosa,GCF_001547955.1,GCF_001547955.1_ASM154795v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
311,Pseudomonas aeruginosa,GCF_001548135.1,GCF_001548135.1_ASM154813v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
665,Pseudomonas aeruginosa,GCF_001721805.1,GCF_001721805.1_ASM172180v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
561,Pseudomonas aeruginosa,GCF_001721845.1,GCF_001721845.1_ASM172184v1_genomic.gbff.gz,Pseudomonas aeruginosa,1543,1544,4,2910,2912,4,116,116,4
599,Pseudomonas aeruginosa,GCF_001792855.1,GCF_001792855.1_ASM179285v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
474,Pseudomonas aeruginosa,GCF_001874465.1,GCF_001874465.1_ASM187446v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
122,Pseudomonas aeruginosa,GCF_001879525.1,GCF_001879525.1_ASM187952v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2915,4,116,116,4
445,Pseudomonas aeruginosa,GCF_001900225.1,GCF_001900225.1_ASM190022v1_genomic.gbff.gz,Pseudomonas aeruginosa,1285,1544,4,2512,2912,4,116,116,4
299,Pseudomonas aeruginosa,GCF_002085605.1,GCF_002085605.1_ASM208560v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
148,Pseudomonas aeruginosa,GCF_002104595.1,GCF_002104595.1_ASM210459v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
402,Pseudomonas aeruginosa,GCF_002192475.1,GCF_002192475.1_ASM219247v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
382,Pseudomonas aeruginosa,GCF_002192495.1,GCF_002192495.1_ASM219249v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
396,Pseudomonas aeruginosa,GCF_002205335.1,GCF_002205335.1_ASM220533v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
403,Pseudomonas aeruginosa,GCF_002237405.1,GCF_002237405.1_ASM223740v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2911,2912,4,116,116,4
572,Pseudomonas aeruginosa,GCF_002812825.1,GCF_002812825.1_ASM281282v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1537,4,2912,2912,4,116,116,4
550,Pseudomonas aeruginosa,GCF_002812905.1,GCF_002812905.1_ASM281290v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1537,4,2911,2912,4,116,116,4
480,Pseudomonas aeruginosa,GCF_002968755.1,GCF_002968755.1_ASM296875v1_genomic.gbff.gz,Pseudomonas aeruginosa_A,1537,1537,4,2911,2912,4,116,116,4
198,Pseudomonas aeruginosa,GCF_002997005.1,GCF_002997005.1_ASM299700v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1537,4,2912,2912,4,116,116,4
324,Pseudomonas aeruginosa,GCF_003025345.2,GCF_003025345.2_ASM302534v2_genomic.gbff.gz,Pseudomonas aeruginosa_A,1537,1537,4,2911,2912,4,116,116,4
620,Pseudomonas aeruginosa,GCF_003060845.1,GCF_003060845.1_ASM306084v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1550,4,2911,2930,4,116,116,4
7,Pseudomonas aeruginosa,GCF_003073695.1,GCF_003073695.1_ASM307369v1_genomic.gbff.gz,Pseudomonas aeruginosa_A,1536,1537,4,2908,2912,4,116,116,4
214,Pseudomonas aeruginosa,GCF_003193645.1,GCF_003193645.1_ASM319364v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1537,4,2912,2912,4,116,116,4
325,Pseudomonas aeruginosa,GCF_003206535.1,GCF_003206535.1_ASM320653v1_genomic.gbff.gz,Pseudomonas aeruginosa,1537,1537,4,2911,2912,4,116,116,4
177,Pseudomonas aeruginosa LESB58,GCF_000026645.1,GCF_000026645.1_ASM2664v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
137,Pseudomonas aeruginosa MTB-1,GCF_000504045.1,GCF_000504045.1_ASM50404v1_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,4,2912,2912,4,116,116,4
273,Pseudomonas aeruginosa PA7,GCF_000017205.1,GCF_000017205.1_ASM1720v1_genomic.gbff.gz,Pseudomonas aeruginosa_A,1544,1544,4,2912,2912,4,116,116,4
640,Pseudomonas aeruginosa PAO1,GCF_000006765.1,GCF_000006765.1_ASM676v1_genomic.gbff.gz,Pseudomonas aeruginosa,1536,1537,4,2889,2892,4,120,960,5
114,Pseudomonas aeruginosa VRFPA04,GCF_000473745.2,GCF_000473745.2_ASM47374v3_genomic.gbff.gz,Pseudomonas aeruginosa,1544,1544,8,2912,2912,8,116,116,11
530,Pseudomonas amygdali pv. lachrymans,GCF_002068135.1,GCF_002068135.1_ASM206813v1_genomic.gbff.gz,Pseudomonas_E ficuserectae,1540,1540,5,2917,2917,5,116,116,6
528,Pseudomonas amygdali pv. morsprunorum,GCF_002905685.2,GCF_002905685.2_ASM290568v2_genomic.gbff.gz,Pseudomonas_E ficuserectae,1540,1540,5,2916,2917,5,116,116,6
481,Pseudomonas avellanae,GCF_002905795.2,GCF_002905795.2_ASM290579v2_genomic.gbff.gz,Pseudomonas_E avellanae,1540,1540,5,2918,2918,5,116,116,6
589,Pseudomonas chlororaphis,GCF_000698865.1,GCF_000698865.1_ASM69886v1_genomic.gbff.gz,Pseudomonas_E piscium,1540,1547,5,2916,2916,5,116,116,6
101,Pseudomonas chlororaphis,GCF_002844145.1,GCF_002844145.1_ASM284414v1_genomic.gbff.gz,Pseudomonas_E piscium,1507,1557,5,2910,2916,5,116,116,6
367,Pseudomonas chlororaphis subsp. aurantiaca,GCF_000761195.1,GCF_000761195.1_ASM76119v1_genomic.gbff.gz,Pseudomonas_E piscium,1547,1547,5,2915,2916,5,116,116,6
227,Pseudomonas chlororaphis subsp. aurantiaca,GCF_002355875.1,GCF_002355875.1_ASM235587v1_genomic.gbff.gz,Pseudomonas_E piscium,1547,1550,5,2916,2916,5,116,116,6
