accession;gtdb_taxonomy;lsu_silva_23s_taxonomy;ncbi_organism_name;ncbi_taxonomy;ssu_silva_taxonomy
30275;GCF_002220215.1;Escherichia flexneri;Escherichia coli O104:H4 str. 11-4632 C3;Escherichia coli;Escherichia coli;Escherichia coli
2894;GCF_002220265.1;Escherichia dysenteriae;Escherichia coli O157:H7 str. SS52;Escherichia coli;Escherichia coli;Escherichia coli
12916;GCF_002237305.1;Escherichia coli;Escherichia coli BIDMC 73;Escherichia coli;Escherichia coli;Escherichia coli 55989
28723;GCF_002237325.1;Escherichia flexneri;Escherichia coli 97.0264;Escherichia coli;Escherichia coli;Escherichia coli IAI1
90435;GCF_002249955.1;Escherichia dysenteriae;Escherichia coli O157:H7 str. SS52;Escherichia coli;Escherichia coli;Escherichia coli O157:H7 str. EDL933
37639;GCF_002269325.1;Escherichia flexneri;Escherichia coli;Escherichia coli O6:H16;Escherichia coli;Escherichia coli
68436;GCF_002278115.2;Escherichia coli_D;Escherichia coli UMN026;Escherichia coli;Escherichia coli;Escherichia coli UMN026
17067;GCF_002285755.1;Escherichia coli;Escherichia coli HVH 48 (4-2658593);Escherichia coli;Escherichia coli;Escherichia coli S88
1936;GCF_002302315.1;Escherichia flexneri;Escherichia coli O104:H4 str. 11-4632 C3;Escherichia coli;Escherichia coli;Escherichia coli W
35184;GCF_002302335.1;Escherichia flexneri;Escherichia coli 55989;Escherichia coli;Escherichia coli;Escherichia coli
122152;GCF_002310555.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli 5.0959
119594;GCF_002310575.1;Escherichia coli;Escherichia coli 536;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
111548;GCF_002310595.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O111:H11 str. CVM9455
74228;GCF_002310615.1;Escherichia coli_D;Escherichia coli B str. REL606;Escherichia coli;Escherichia coli;Escherichia coli UMN026
9763;GCF_002310635.1;Escherichia coli;Escherichia coli NC101;Escherichia coli;Escherichia coli;Escherichia coli NA114
100997;GCF_002310655.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O111:H11 str. CVM9455
123351;GCF_002310675.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
92801;GCF_002310695.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli BIDMC 17B
41530;GCF_002310715.1;Escherichia flexneri;Escherichia coli OK1357;Escherichia coli;Escherichia coli;Escherichia coli
71459;GCF_002310735.1;Escherichia flexneri;Escherichia coli HVH 164 (4-5953081);Escherichia coli;Escherichia coli;Escherichia coli
48993;GCF_002357875.1;Escherichia coli_D;Escherichia coli SMS-3-5;Escherichia coli;Escherichia coli;Shigella flexneri 2002017
68170;GCF_002357895.1;Escherichia coli_D;Escherichia coli SMS-3-5;Escherichia coli;Escherichia coli;Shigella flexneri 2002017
53307;GCF_002357915.1;Escherichia coli;Escherichia coli HVH 79 (4-2512823);Escherichia coli;Escherichia coli;Escherichia coli
113071;GCF_002393365.1;Escherichia flexneri;Escherichia coli O104:H4 str. 2009EL-2071;Escherichia coli;Escherichia coli;Escherichia coli
33762;GCF_002393465.1;Escherichia flexneri;Escherichia coli O104:H4 str. 2009EL-2071;Escherichia coli;Escherichia coli;Escherichia coli 55989
78581;GCF_002587005.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
102397;GCF_002589795.1;Escherichia flexneri;Escherichia coli MP021552.8;Escherichia coli;Escherichia coli;Escherichia coli
22975;GCF_002591135.1;Escherichia coli_D;Escherichia coli BIDMC 77;Escherichia coli;Escherichia coli;Escherichia coli IAI39
100236;GCF_002716885.1;Escherichia flexneri;Escherichia coli;Escherichia coli O91 str. RM7190;Escherichia coli;Escherichia coli 96.0497
41597;GCF_002741175.1;Escherichia flexneri;Escherichia coli 3-373-03_S4_C2;Escherichia coli O25:NM;Escherichia coli;Escherichia coli
98879;GCF_002741195.1;Escherichia flexneri;Escherichia coli O6:H16:CFA/II str. B2C;Escherichia coli O6:H16;Escherichia coli;Escherichia coli
95825;GCF_002741215.1;Escherichia flexneri;Escherichia coli 3-073-06_S1_C2;Escherichia coli O15:H11;Escherichia coli;Escherichia coli IAI1
44048;GCF_002741255.1;Escherichia flexneri;Escherichia coli 55989;Escherichia coli O114:H49;Escherichia coli;Escherichia coli
98033;GCF_002741295.1;Escherichia flexneri;Escherichia coli KTE42;Escherichia coli;Escherichia coli;Escherichia coli
125192;GCF_002741315.1;Escherichia flexneri;Escherichia coli 3-073-06_S1_C2;Escherichia coli O25:H16;Escherichia coli;Escherichia coli
66484;GCF_002741335.1;Escherichia flexneri;Escherichia coli O6:H16 str. F5656C1;Escherichia coli;Escherichia coli;Escherichia coli P12b
116425;GCF_002741355.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
28391;GCF_002741435.1;Escherichia flexneri;Escherichia coli STEC O174:H8 str. 02-07607;Escherichia coli O169:H41;Escherichia coli;Escherichia coli
102805;GCF_002741455.1;Escherichia flexneri;Escherichia coli;Escherichia coli O128:H27;Escherichia coli;Escherichia coli IAI1
31237;GCF_002741475.1;Escherichia flexneri;Escherichia coli;Escherichia coli O27:H7;Escherichia coli;Escherichia coli
82245;GCF_002741495.1;Escherichia dysenteriae;Escherichia coli STEC O174:H8 str. 02-07607;Escherichia coli O169:H41;Escherichia coli;Escherichia coli
13750;GCF_002741535.1;Escherichia flexneri;Escherichia coli O139:H28 str. E24377A;Escherichia coli;Escherichia coli;Escherichia coli O104:H4 str. 2011C-3493
26669;GCF_002741555.1;Escherichia dysenteriae;Escherichia coli STEC O174:H8 str. 02-07607;Escherichia coli;Escherichia coli;Escherichia coli O104:H4 str. 2011C-3493
83104;GCF_002741575.1;Escherichia flexneri;Escherichia coli;Escherichia coli O6:H16;Escherichia coli;Escherichia coli
108928;GCF_002741595.1;Escherichia flexneri;Escherichia coli HVH 36 (4-5675286);Escherichia coli O178:H19;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
98410;GCF_002761835.1;Escherichia flexneri;Escherichia coli TW14425;Escherichia coli;Escherichia coli;Escherichia coli
139596;GCF_002763515.2;Escherichia coli;Escherichia coli F11;Escherichia coli;Escherichia coli;Escherichia coli
122900;GCF_002763995.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli NA114
13560;GCF_002764015.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli NA114
125420;GCF_002786655.1;Escherichia flexneri;Escherichia coli KTE81;Escherichia coli;Escherichia coli;Escherichia coli
76034;GCF_002787215.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI39
25028;GCF_002787315.1;Escherichia flexneri;Escherichia coli P0299438.2;Escherichia coli;Escherichia coli;Escherichia coli
97097;GCF_002787545.1;Escherichia flexneri;Escherichia coli KTE81;Escherichia coli;Escherichia coli;Escherichia coli
142556;GCF_002787645.1;Escherichia coli_D;Escherichia coli SMS-3-5;Escherichia coli;Escherichia coli;Shigella flexneri 2002017
141250;GCF_002787935.1;Escherichia flexneri;Escherichia coli MS 79-10;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
35614;GCF_002788115.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI39
67916;GCF_002788295.1;Escherichia flexneri;Escherichia coli P0299438.2;Escherichia coli;Escherichia coli;Escherichia coli
81726;GCF_002796445.1;Escherichia flexneri;Escherichia coli K-12;Escherichia coli;Escherichia coli;Escherichia coli
142139;GCF_002796585.1;Escherichia coli;Escherichia coli HVH 70 (4-2963531);Escherichia coli;Escherichia coli;Escherichia coli S88
141686;GCF_002803805.1;Escherichia flexneri;Escherichia coli KTE102;Escherichia coli;Escherichia coli;Escherichia coli
122811;GCF_002803905.1;Escherichia flexneri;Escherichia coli ThroopD;Escherichia coli;Escherichia coli;Escherichia coli
47094;GCF_002812545.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
110480;GCF_002843685.1;Escherichia flexneri;synthetic Escherichia coli C321.deltaA;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli ER2796
133462;GCF_002844165.1;Escherichia flexneri;Escherichia coli 5.0959;Escherichia coli O121:H19;Escherichia coli;Escherichia coli IAI1
44890;GCF_002844685.1;Escherichia coli;Escherichia coli S88;Escherichia coli;Escherichia coli;Escherichia coli S88
14779;GCF_002846135.1;Escherichia coli;Escherichia coli S88;Escherichia coli;Escherichia coli;Escherichia coli S88
49734;GCF_002848225.1;Escherichia flexneri;Escherichia coli DH1;Escherichia coli;Escherichia coli;Escherichia coli
75592;GCF_002853655.1;Escherichia flexneri;Escherichia coli ATCC 8739;Escherichia coli;Escherichia coli;Escherichia coli
92057;GCF_002853715.1;Escherichia coli;Escherichia coli HVH 79 (4-2512823);Escherichia coli;Escherichia coli;Escherichia coli
33242;GCF_002853805.1;Escherichia flexneri;Escherichia coli O104:H4 str. 11-4632 C3;Escherichia coli;Escherichia coli;Escherichia coli
28193;GCF_002854065.1;Escherichia dysenteriae;Escherichia coli 1-250-04_S3_C2;Escherichia coli;Escherichia coli;Escherichia coli
23514;GCF_002855325.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
101367;GCF_002855415.1;Escherichia flexneri;Escherichia coli KTE154;Escherichia coli;Escherichia coli;Escherichia coli
73297;GCF_002859105.1;Escherichia coli;Escherichia coli 536;Escherichia coli;Escherichia coli;Escherichia coli 536
74602;GCF_002860085.1;Escherichia flexneri;Escherichia coli HVH 186 (4-3405044);Escherichia coli;Escherichia coli;Escherichia coli IAI1
29422;GCF_002860105.1;Escherichia flexneri;Escherichia coli B41;Escherichia coli;Escherichia coli;Escherichia coli
31253;GCF_002863665.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
70952;GCF_002863685.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
18409;GCF_002863845.1;Escherichia coli;Escherichia coli HVH 38 (4-2774682);Escherichia coli;Escherichia coli;Escherichia coli J96
62092;GCF_002863885.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
120145;GCF_002870165.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
129855;GCF_002879975.1;Escherichia flexneri;Escherichia coli KTE42;Escherichia coli;Escherichia coli;Escherichia coli
101939;GCF_002887715.1;Escherichia coli;Escherichia coli 536;Escherichia coli;Escherichia coli;Escherichia coli 536
137997;GCF_002893905.2;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
35575;GCF_002899475.1;Escherichia flexneri;Escherichia coli W;Escherichia coli;Escherichia coli;Escherichia coli KO11FL
2362;GCF_002899495.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
70156;GCF_002899515.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli ER2796
83793;GCF_002899535.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
18549;GCF_002900305.1;Escherichia coli;Escherichia coli 536;Escherichia coli;Escherichia coli;Escherichia coli str. 'clone D i2'
22538;GCF_002903105.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
11737;GCF_002903125.1;Escherichia flexneri;Escherichia coli B41;Escherichia coli;Escherichia coli;Escherichia coli
96370;GCF_002934025.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
29587;GCF_002934895.1;Escherichia flexneri;Escherichia coli DEC15C;Escherichia coli;Escherichia coli;Escherichia coli IAI1
72353;GCF_002944935.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O83:H1 str. NRG 857C
58133;GCF_002946715.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
86705;GCF_002948655.1;Escherichia coli_D;Escherichia coli SMS-3-5;Escherichia coli;Escherichia coli;Escherichia coli
127284;GCF_002951855.1;Escherichia coli;Escherichia coli HVH 225 (4-1273116);Escherichia coli;Escherichia coli;Escherichia coli J96
97344;GCF_002952695.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli 5.0959
88602;GCF_002952855.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
33259;GCF_002952875.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli ER2796
70504;GCF_002952895.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
32029;GCF_002952915.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
5014;GCF_002952935.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
134392;GCF_002952955.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli ER2796
21406;GCF_002952995.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
66943;GCF_002953015.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
17139;GCF_002953035.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
2482;GCF_002953055.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
110887;GCF_002953075.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
112138;GCF_002953095.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
14375;GCF_002953435.1;Escherichia coli;Escherichia coli HVH 48 (4-2658593);Escherichia coli;Escherichia coli;Escherichia coli S88
66931;GCF_002953455.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
55208;GCF_002953755.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli ER2796
91619;GCF_002953775.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
114581;GCF_002953795.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
59394;GCF_002953815.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
40794;GCF_002953835.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli ER2796
79190;GCF_002953855.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
66141;GCF_002953875.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
127990;GCF_002953895.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
27551;GCF_002966755.1;Escherichia coli_D;Escherichia coli HVH 133 (4-4466519);Escherichia coli;Escherichia coli;Escherichia coli
90278;GCF_002968715.1;Escherichia flexneri;Escherichia coli HVH 44 (4-2298570);Escherichia coli;Escherichia coli;Escherichia coli
36214;GCF_002968735.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI39
123609;GCF_002983645.1;Escherichia flexneri;Escherichia coli IAI1;Escherichia coli O104:H4;Escherichia coli;Escherichia coli
89078;GCF_002993265.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
65530;GCF_002996665.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
98966;GCF_002996945.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O111:H11 str. CVM9455
48034;GCF_002999075.1;Escherichia flexneri;Escherichia coli O104:H4 str. 2011C-3493;Escherichia coli;Escherichia coli;Escherichia coli
86508;GCF_003013205.1;Escherichia flexneri;Escherichia coli O121:H19 str. 2009C-4050;Escherichia coli;Escherichia coli;Escherichia coli
16578;GCF_003017375.1;Escherichia flexneri;Escherichia coli O103:H2 str. 2011C-3750;Escherichia coli;Escherichia coli;Escherichia coli
65962;GCF_003017455.1;Escherichia flexneri;Escherichia coli 2534-86;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
8333;GCF_003017555.1;Escherichia flexneri;Escherichia coli 4.0522;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
68847;GCF_003017615.1;Escherichia flexneri;Escherichia coli KOEGE 33 (68a);Escherichia coli;Escherichia coli;Escherichia coli
80088;GCF_003017765.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
8938;GCF_003017805.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli 5.0959
94308;GCF_003017915.1;Escherichia flexneri;Escherichia coli O69:H11 str. 07-3763;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
18965;GCF_003017935.1;Escherichia flexneri;Escherichia coli 99.0741;Escherichia coli;Escherichia coli;Escherichia coli
78633;GCF_003017975.1;Escherichia flexneri;Escherichia coli 4.0522;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
47243;GCF_003017995.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli P0302308.1
84307;GCF_003018035.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
27397;GCF_003018055.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli;Escherichia coli;Escherichia coli
23226;GCF_003018075.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli 5.0959
124847;GCF_003018095.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
124925;GCF_003018115.1;Escherichia dysenteriae;Escherichia coli STEC O174:H8 str. 02-07607;Escherichia coli;Escherichia coli;Escherichia coli
95217;GCF_003018135.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
57830;GCF_003018155.1;Escherichia flexneri;Escherichia coli KTE193;Escherichia coli;Escherichia coli;Escherichia coli IAI1
69760;GCF_003018195.1;Escherichia flexneri;Escherichia coli O91:H21 str. 2009C-3740;Escherichia coli;Escherichia coli;Escherichia coli
80312;GCF_003018215.1;Escherichia flexneri;Escherichia coli OK1357;Escherichia coli;Escherichia coli;Escherichia coli
120326;GCF_003018235.1;Escherichia coli_D;Escherichia coli HVH 41 (4-2677849);Escherichia coli;Escherichia coli;Escherichia coli J96
98285;GCF_003018255.1;Escherichia coli;Escherichia coli HVH 43 (4-2173468);Escherichia coli;Escherichia coli;Escherichia coli
113393;GCF_003018275.1;Escherichia flexneri;Escherichia coli OK1357;Escherichia coli;Escherichia coli;Escherichia coli
40045;GCF_003018315.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli;Escherichia coli;Escherichia coli
61653;GCF_003018335.1;Escherichia coli_C;Escherichia coli TW10509;Escherichia coli;Escherichia coli;Escherichia coli
111715;GCF_003018355.1;Escherichia flexneri;Escherichia coli 97.0264;Escherichia coli;Escherichia coli;Escherichia coli
115107;GCF_003018375.1;Escherichia flexneri;Escherichia coli 97.0246;Escherichia coli;Escherichia coli;Escherichia coli IAI1
115654;GCF_003018395.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
66692;GCF_003018455.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
110118;GCF_003018475.1;Escherichia coli;Escherichia coli UMEA 3152-1;Escherichia coli;Escherichia coli;Escherichia coli J96
55697;GCF_003018495.1;Escherichia flexneri;Escherichia coli 2534-86;Escherichia coli;Escherichia coli;Escherichia coli IAI1
7798;GCF_003018535.1;Escherichia flexneri;Escherichia coli 4.0522;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
94609;GCF_003018555.1;Escherichia flexneri;Escherichia coli HVH 147 (4-5893887);Escherichia coli;Escherichia coli;Escherichia coli
143007;GCF_003018575.1;Escherichia flexneri;Escherichia coli O26:H11 str. 11368;Escherichia coli;Escherichia coli;Escherichia coli
132431;GCF_003018615.1;Escherichia flexneri;Escherichia coli 99.0741;Escherichia coli;Escherichia coli;Escherichia coli
81164;GCF_003018655.1;Escherichia flexneri;Escherichia coli 3030-1;Escherichia coli;Escherichia coli;Escherichia coli
131095;GCF_003018695.1;Escherichia flexneri;Escherichia coli O121:H19 str. 2011C-3609;Escherichia coli;Escherichia coli;Escherichia coli O111:H11 str. CVM9455
89291;GCF_003018715.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
105650;GCF_003018755.1;Escherichia flexneri;Escherichia coli O104:H4 str. 2011C-3493;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
112253;GCF_003018775.1;Escherichia flexneri;Escherichia coli 5.0959;Escherichia coli;Escherichia coli;Escherichia coli IAI1
117537;GCF_003018795.1;Escherichia flexneri;Escherichia coli O26:H11 str. 11368;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 11368
137810;GCF_003018815.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli IAI1
10357;GCF_003018855.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 11368
9130;GCF_003018875.1;Escherichia flexneri;Escherichia coli 4.0522;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
11015;GCF_003018895.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli;Escherichia coli;Escherichia coli
80840;GCF_003018915.1;Escherichia flexneri;Escherichia coli O45:H2 str. 2010C-4211;Escherichia coli;Escherichia coli;Escherichia coli
136358;GCF_003018935.1;Escherichia flexneri;Escherichia coli 5.0959;Escherichia coli;Escherichia coli;Escherichia coli IAI1
126895;GCF_003018995.1;Escherichia dysenteriae;Escherichia coli O145:H28 str. RM12581;Escherichia coli;Escherichia coli;Escherichia coli IAI39
37433;GCF_003019035.1;Escherichia coli_D;Escherichia coli B str. REL606;Escherichia coli;Escherichia coli;Escherichia coli IAI39
75726;GCF_003019055.1;Escherichia flexneri;Escherichia coli 5.0959;Escherichia coli;Escherichia coli;Escherichia coli IAI1
34144;GCF_003019075.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli 5.0959
87690;GCF_003019095.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O83:H1 str. NRG 857C
30390;GCF_003019115.1;Escherichia flexneri;Escherichia coli DEC14A;Escherichia coli;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
124015;GCF_003019155.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli str. K-12 substr. MG1655
77457;GCF_003019175.1;Escherichia flexneri;Escherichia coli O69:H11 str. 07-3763;Escherichia coli;Escherichia coli;Escherichia coli
137394;GCF_003019215.1;Escherichia flexneri;Escherichia coli O104:H4 str. Ec11-9990;Escherichia coli;Escherichia coli;Escherichia coli str. K-12 substr. MG1655
104582;GCF_003020885.1;Escherichia coli;Escherichia coli S88;Escherichia coli;Escherichia coli;Escherichia coli S88
7562;GCF_003030025.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
33127;GCF_003030245.1;Escherichia coli_D;Escherichia coli HVH 29 (4-3418073);Escherichia coli;Escherichia coli;Escherichia coli IAI39
136812;GCF_003030365.1;Escherichia flexneri;Escherichia coli B41;Escherichia coli;Escherichia coli;Escherichia coli
95589;GCF_003031225.1;Escherichia flexneri;Escherichia coli KTE154;Escherichia coli;Escherichia coli;Escherichia coli APEC O78
6321;GCF_003033905.1;Escherichia flexneri;Escherichia coli 2-210-07_S3_C1;Escherichia coli;Escherichia coli;Escherichia coli
140322;GCF_003043915.1;Escherichia coli;Escherichia coli WV_060327;Escherichia coli;Escherichia coli;Escherichia coli str. K-12 substr. MG1655
19407;GCF_003052645.1;Escherichia flexneri;Escherichia coli str. K-12 substr. DH10B;Escherichia coli;Escherichia coli;Escherichia coli
20777;GCF_003052665.1;Escherichia flexneri;Escherichia coli str. K-12 substr. MG1655;Escherichia coli;Escherichia coli;Escherichia coli
104550;GCF_003073815.1;Escherichia flexneri;Escherichia coli APEC O78;Escherichia coli;Escherichia coli;Escherichia coli IAI1
107228;GCF_003073835.1;Escherichia flexneri;Escherichia coli P0299438.2;Escherichia coli;Escherichia coli;Escherichia coli
120118;GCF_003073875.1;Escherichia flexneri;Escherichia coli O104:H4 str. 2011C-3493;Escherichia coli;Escherichia coli;Escherichia coli
61829;GCF_003073955.1;Escherichia flexneri;Escherichia coli APEC O78;Escherichia coli;Escherichia coli;Escherichia coli IAI1
17983;GCF_003095635.1;Escherichia coli_D;Escherichia coli HVH 79 (4-2512823);Escherichia coli;Escherichia coli;Escherichia coli
78561;GCF_003111785.1;Escherichia flexneri;Escherichia coli KTE103;Escherichia coli;Escherichia coli;Escherichia coli
94537;GCF_003112145.1;Escherichia flexneri;Escherichia coli O121:H19 str. 2011C-3609;Escherichia coli O121 str. RM8352;Escherichia coli;Escherichia coli IAI1
39884;GCF_003112165.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli O103 str. RM8385;Escherichia coli;Escherichia coli O26:H11 str. 11368
138581;GCF_003112185.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli O26 str. RM8426;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
60002;GCF_003112205.1;Escherichia flexneri;Escherichia coli K-12;Escherichia coli O43 str. RM10042;Escherichia coli;Escherichia coli
18236;GCF_003112225.1;Escherichia flexneri;Escherichia coli 900105 (10e);Escherichia coli O26 str. RM10386;Escherichia coli;Escherichia coli O26:H11 str. 2011C-3274
110021;GCF_003112245.1;Escherichia flexneri;Escherichia coli 2534-86;Escherichia coli O111 str. RM9322;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
4939;GCF_003122105.1;Escherichia flexneri;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli
87002;GCF_003176855.1;Escherichia flexneri;Escherichia coli 96.154;Escherichia coli;Escherichia coli;Escherichia coli W
29805;GCF_003180975.1;Escherichia flexneri;Escherichia coli B41;Escherichia coli;Escherichia coli;Escherichia coli
39365;GCF_003180995.1;Escherichia coli_D;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli O111:H11 str. CVM9455
14205;GCF_003181035.1;Escherichia coli;Escherichia coli NA114;Escherichia coli;Escherichia coli;Escherichia coli NA114
30837;GCF_003194345.1;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli;Escherichia coli NA114
1902;GCF_003203755.1;Escherichia flexneri;Escherichia coli 2534-86;Escherichia coli;Escherichia coli;Escherichia coli O111:H8 str. CVM9602
